title,release_date,overview,end_range,opening_weekend
Battlestar Galactica: The Plan,2009-10-27,"When the initial Cylon attack against the Twelve Colonies fails to achieve complete extermination of human life as planned, twin Number Ones (Cavils) embedded on Galactica and Caprica must improvise to destroy the human survivors.",2009-11-03,2009-10-29
The Final Cut,2004-10-15,"Set in a world with memory implants, Alan Hakman is a 'cutter'—someone with the power of final edit over people's recorded histories—but his latest assignment puts him in great danger.",2004-10-22,2004-10-17
eXistenZ,1999-04-19,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,1999-04-26,1999-04-21
Mega Shark vs. Giant Octopus,2009-05-19,The California coast is terrorized by two enormous prehistoric sea creatures as they battle each other for supremacy of the sea.,2009-05-26,2009-05-21
The Land Before Time XII: The Great Day of the Flyers,2006-02-27,"As the Great Day of the Flyers nears, the Great Valley's flying youngsters are eager to participate in the annual exhibition to show off their skills. Everyone, that is, except free-spirited pterodactyl Petrie, whose individualism causes problems when it comes to staying in formation. Enter his dinosaur pals Littlefoot, Cera, Spike and Ducky, who encourage Petrie to embrace his uniqueness.",2006-03-06,2006-03-01
My Super Ex-Girlfriend,2006-06-20,"When New York architect Matt Saunders dumps his new girlfriend Jenny Johnson - a smart, sexy and reluctant superhero known as G-Girl - she uses her powers to make his life a living hell!",2006-06-27,2006-06-22
Seeking a Friend for the End of the World,2012-06-22,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",2012-06-29,2012-06-24
Family Guy Presents: Blue Harvest,2007-09-23,"With the Griffins stuck at home during a blackout, Peter tells the story of “Star Wars Episode IV: A New Hope.”",2007-09-30,2007-09-25
The Butterfly Effect 2,2006-10-10,"After his girlfriend, Julie and two best friends are killed in a tragic auto accident, Nick struggles to cope with his loss and grief. Suffering from migraine-like seizures, Nick soon discovers that he has the power to change the past via his memories. However, his time-traveling attempts to alter the past and save his one true love have unexpected and dire consequences.",2006-10-17,2006-10-12
Frequently Asked Questions About Time Travel,2009-04-24,Three men walk into a bar; two geeks and a cynic. They are three ordinary blokes who all have dreams and hopes for an exciting and better future,2009-05-01,2009-04-26
Family Guy Presents: It's a Trap!,2011-05-22,"With the Griffins stuck again at home during a blackout, Peter tells the story of “Star Wars Episode VI: Return of the Jedi.”",2011-05-29,2011-05-24
Where the Wild Things Are,2009-10-16,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts -- Ira, Carol, Douglas, the Bull, Judith and Alexander -- crown him as their king, play rumpus, build forts and discover secret hideaways.",2009-10-23,2009-10-18
Tokyo Gore Police,2008-10-03,"Set in a future-world vision of Tokyo where the police have been privatized and bitter self-mutilation is so casual that advertising is often specially geared to the “cutter” demographic, this is the story of samurai-sword-wielding Ruka and her mission to avenge her father’s assassination. Ruka is a cop from a squad whose mission is to destroy homicidal mutants known as “engineers” possessing the ability to transform any injury into a weapon.",2008-10-10,2008-10-05
A Sound of Thunder,2005-09-02,"When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.",2005-09-09,2005-09-04
Detention,2011-03-16,"As a killer named Cinderhella stalks the student body at the high school in Grizzly Lake, a group of co-eds band together to survive while they're all serving detention.",2011-03-23,2011-03-18
Transformers: Beginnings,2007-10-16,"On their home planet of Cybertron, the Autobots and Decepticons are involved in an explosive battle over the coveted AllSpark. With the fate of the universe at stake, the Autobots send it far from the reaches of the ruthless Megatron, leader of the Decepticons. But there are even more surprises in store when it crash-lands on Earth.",2007-10-23,2007-10-18
Upside Down,2013-03-14,"In an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?",2013-03-21,2013-03-16
Timecrimes,2008-12-12,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2008-12-19,2008-12-14
Vexille,2008-02-14,"2067: Isolation:  Japan seals herself off from the eyes of the world in the face of unilateral international policy setting strict limits on the use of robotic technology. The island nation exists only behind a veil of seclusion. No soul shall enter. No soul shall leave.  2077: Revelation:  The veil is breached. Japan is infiltrated by agents of the organization S.W.O.R.D., a fighting force operating outside of the protection of the United States and her allies. Their mission: Determine if the Japanese are developing banned robotic bio-technology, forbidden due to its threat to humankind. In the battle between machine and man, humanity stands to suffer most.",2008-02-21,2008-02-16
Ben 10: Race Against Time,2008-04-08,"""Ben 10: Race Against Time"" has Ben back in his hometown of Bellwood. Even though he's back in school and leaving his hero adventures behind him, it seems that Ben will be facing his greatest challenge yet.",2008-04-15,2008-04-10
Apollo 18,2011-09-02,"Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies it's authenticity, others say it's the real reason we've never gone back to the moon.",2011-09-09,2011-09-04
Red Planet,2000-11-10,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",2000-11-17,2000-11-12
Universal Soldier: Regeneration,2009-10-01,"When terrorists threaten nuclear catastrophe, the world's only hope is to reactivate decommissioned Universal Soldier Luc Deveraux. Rearmed and reprogrammed, Deveraux must take on his nemesis from the original Universal Soldier and a next-generation ""UniSol"".",2009-10-08,2009-10-03
The Lost Future,2010-11-13,"A group of post-apocalyptic survivors, struggle to survive in a world where jungles and forests and primeval wetlands and deserts have obliterated civilization. They staunchly face genetically mutating beasts and mysterious diseases in an attempt to re-establish the human race as masters of Earth.",2010-11-20,2010-11-15
Immortal,2005-06-21,New York City in the year 2095 where genetically altered humans live side by side with unaltered men and women.,2005-06-28,2005-06-23
